DATE,Base: Total,Base: Currency in Circulation
2019-12-08,3340473.0,1793.186
2019-12-15,3441827.0,1791.932
2019-12-22,3441827.0,1792.816
2019-12-29,3436379.0,1799.105
2020-01-05,3436379.0,1805.88
2020-01-12,3471534.0,1804.965
2020-01-19,3471534.0,1797.216
2020-01-26,3412446.0,1794.685
2020-02-02,3412446.0,1792.176
2020-02-09,3453764.0,1792.586
2020-02-16,3453764.0,1794.356
2020-02-23,3438801.0,1798.097
2020-03-01,3438801.0,1798.896
2020-03-08,3530453.0,1803.47
2020-03-15,3530453.0,1814.015
2020-03-22,3884720.0,1827.086
2020-03-29,3884720.0,1859.732
2020-04-05,4526124.0,1876.839
2020-04-12,4526124.0,1880.963
2020-04-19,4899202.0,1884.887
2020-04-26,4899202.0,1890.85
2020-05-03,5068799.0,1903.359
2020-05-10,5068799.0,1916.001
2020-05-17,5144614.0,1925.637
2020-05-24,5144614.0,1933.167
2020-05-31,5199813.0,1944.109
2020-06-07,5199813.0,1949.684
2020-06-14,5085807.0,1953.842
2020-06-21,5085807.0,1956.796
2020-06-28,4866046.0,1961.158
2020-07-05,4866046.0,1967.076
2020-07-12,4772522.0,1974.69
2020-07-19,4772522.0,1978.51
2020-07-26,4609143.0,1982.873
2020-08-02,4609143.0,1988.19
2020-08-09,4750981.0,1996.626
2020-08-16,4750981.0,2003.019
2020-08-23,4830999.0,2007.458
2020-08-30,4830999.0,2010.991
2020-09-06,4876690.0,2016.895
2020-09-13,4876690.0,2026.998
